ID,empleado_ID,sector_ID,cargo_ID,createdAt,createdBy,modifiedAt,modifiedBy
ede8c9a2-9d1e-4d4f-8697-c4910604c7a3,0f9afe66-8c80-46bc-bd38-54e9bb9fa0e8,847ff617-9692-4b63-bb60-cc0a36b7b71a,06f85d9a-8565-4595-a043-038b64035ca4,2025-11-08T13:52:01,gmarchesano@indracompany.com,2025-11-08T13:52:01,gmarchesano@indracompany.com
a462f778-e646-4cfa-9f39-eb185e5c62c0,54aee44d-b935-4464-8b86-4441fdfb4533,847ff617-9692-4b63-bb60-cc0a36b7b71a,e35949b7-6fe2-48c2-b8f6-9478e8905070,2025-11-08T13:52:01,gmarchesano@indracompany.com,2025-11-08T13:52:01,gmarchesano@indracompany.com
b88f2062-32da-4b6f-b1f3-3c1b197aa025,0f9afe66-8c80-46bc-bd38-54e9bb9fa0e8,847ff617-9692-4b63-bb60-cc0a36b7b71a,2c42825e-6057-4b04-97f3-74d24f81bf9f,2025-11-08T13:52:01,gmarchesano@indracompany.com,2025-11-08T13:52:01,gmarchesano@indracompany.com
0e6c039d-5dae-411e-baf4-7ee1c86f541f,0f9afe66-8c80-46bc-bd38-54e9bb9fa0e8,a76a41b8-1a6f-45d0-83e3-b58b878efb3a,e35949b7-6fe2-48c2-b8f6-9478e8905070,2025-11-08T13:52:01,gmarchesano@indracompany.com,2025-11-08T13:52:01,gmarchesano@indracompany.com
c6db8d4e-8a12-4fc1-8234-6de01fb844ba,54aee44d-b935-4464-8b86-4441fdfb4533,a76a41b8-1a6f-45d0-83e3-b58b878efb3a,2c42825e-6057-4b04-97f3-74d24f81bf9f,2025-11-08T13:52:01,gmarchesano@indracompany.com,2025-11-08T13:52:01,gmarchesano@indracompany.com
7f36efd4-603b-40a8-b7c4-6e5045d6af69,54aee44d-b935-4464-8b86-4441fdfb4533,847ff617-9692-4b63-bb60-cc0a36b7b71a,06f85d9a-8565-4595-a043-038b64035ca4,2025-11-08T13:52:01,gmarchesano@indracompany.com,2025-11-08T13:52:01,gmarchesano@indracompany.com
f4cd0930-a3cf-4663-9965-167d95845f58,54aee44d-b935-4464-8b86-4441fdfb4533,2d08de7d-6b1f-4bb3-a9c4-1b6bdfb17ff2,e35949b7-6fe2-48c2-b8f6-9478e8905070,2025-11-08T13:52:01,dvjuiz@indracompany.com,2025-11-08T13:52:01,dvjuiz@indracompany.com
a6c41baa-e7f5-48f7-943a-a807c232c785,0f9afe66-8c80-46bc-bd38-54e9bb9fa0e8,2d08de7d-6b1f-4bb3-a9c4-1b6bdfb17ff2,2c42825e-6057-4b04-97f3-74d24f81bf9f,2025-11-08T13:52:01,dvjuiz@indracompany.com,2025-11-08T13:52:01,dvjuiz@indracompany.com
e6fb7fee-e2fe-44dc-83cd-cf62bf24d9a6,0f9afe66-8c80-46bc-bd38-54e9bb9fa0e8,847ff617-9692-4b63-bb60-cc0a36b7b71a,ca91a5c1-1ab2-402d-a5a2-1c0033e10239,2025-11-08T13:52:01,gmarchesano@indracompany.com,2025-11-08T13:52:01,gmarchesano@indracompany.com
3ed57191-2516-4fb0-9377-48fea7e2e058,a4abe346-349b-4f78-976f-1acb37b598aa,a76a41b8-1a6f-45d0-83e3-b58b878efb3a,e35949b7-6fe2-48c2-b8f6-9478e8905070,2025-11-08T13:52:01,gmarchesano@indracompany.com,2025-11-08T13:52:01,gmarchesano@indracompany.com
f561bfc1-84bc-4274-9871-21f4f01ae5c1,0f9afe66-8c80-46bc-bd38-54e9bb9fa0e8,20ec6066-6473-4792-9747-aa168cf612e3,ca91a5c1-1ab2-402d-a5a2-1c0033e10239,2025-11-08T13:52:01,gmarchesano@indracompany.com,2025-11-08T13:52:01,gmarchesano@indracompany.com
