ID,cuentaContable_ID,importeGerencia,importeCFO,comentarios,createdAt,createdBy,modifiedAt,modifiedBy
d5ef7a43-3612-4051-afb2-2259efdff543,fd2830a8-d5c6-457a-81af-40bebf5c868d, 500000000 ,,,2025-11-08T14:08:27,init-script,2025-11-08T14:08:27,init-script
c6300c76-88df-4961-af78-fbe77579123e,356c202d-6900-45f1-8d06-2ff0127e24fc, 500000000 ,,,2025-11-08T14:08:27,init-script,2025-11-08T14:08:27,init-script
3868bfd8-465d-4710-82eb-e55f05920d1f,91403cbe-e646-44aa-a5eb-4578ba0027f5, 500000000 ,,,2025-11-08T14:08:27,init-script,2025-11-08T14:08:27,init-script
a866d752-010e-4b75-ac58-798e7ab699a1,292757e9-c0ec-40b5-9edb-344aecb5bf27, 500000000 ,,,2025-11-08T14:08:27,init-script,2025-11-08T14:08:27,init-script
ef374257-f316-4bf2-a469-9faebdd1c86c,e4f15183-0892-4465-9b02-6382929aa0ef, 500000000 ,,,2025-11-08T14:08:27,init-script,2025-11-08T14:08:27,init-script
90bf16ff-c8a8-4d29-98f6-d208d739702b,f3bc995f-7a5d-4df2-8ff5-c06177ba1782, 500000000 ,,,2025-11-08T14:08:27,init-script,2025-11-08T14:08:27,init-script
0681f6a2-22b1-49b5-86c0-b06618bc8273,45de3126-b82f-40ae-83ff-d90ebc411861, 500000000 ,,,2025-11-08T14:08:27,init-script,2025-11-08T14:08:27,init-script
ce1b38ea-d558-4ff4-8ad8-715885214787,7fd5233e-79c7-49de-b54c-11e2596d9a7e, 500000000 ,,,2025-11-08T14:08:27,init-script,2025-11-08T14:08:27,init-script
f1b47b70-d27b-4df1-aa5c-d8b6ee012f45,79568e33-6db5-433f-afd5-b7cf9dafbe4a, 500000000 ,,,2025-11-08T14:08:27,init-script,2025-11-08T14:08:27,init-script
405cb372-a5cd-4610-9d4b-6b68d2758bd1,74c27e27-b480-4b5c-b3d7-43a4ea9c51eb, 500000000 ,,,2025-11-08T14:08:27,init-script,2025-11-08T14:08:27,init-script
63caf362-14fa-4517-ba7e-dcc99404e9d6,a7f39589-2094-4d79-a343-3ff43c176776, 500000000 ,,,2025-11-08T14:08:27,init-script,2025-11-08T14:08:27,init-script
daf461d8-35f3-401b-aa22-36d9f5c4ab5c,117b9675-fb5a-4dba-bfa1-52c2d3176c09, 500000000 ,,,2025-11-08T14:08:27,init-script,2025-11-08T14:08:27,init-script
0950fc83-63fe-4c83-8fca-ac491ac4699c,24974cb4-0f2d-4ef5-a0be-99b34cbeaf4b, 500000000 ,,,2025-11-08T14:08:27,init-script,2025-11-08T14:08:27,init-script
20a890bf-57d9-4598-8471-8f8e0471b562,8b764e2f-e1d8-4d6a-bb98-c3ec293f1c51, 500000000 ,,,2025-11-08T14:08:27,init-script,2025-11-08T14:08:27,init-script
8fd1f0c6-dbf7-47ae-a87b-2f97ad3cc43a,6d598e4e-5ce6-4222-b952-0bf5788f6290, 500000000 ,,,2025-11-08T14:08:27,init-script,2025-11-08T14:08:27,init-script
7147352e-f293-453b-ad0a-3981d34fd576,a2a78660-48f1-421e-8ea4-723cf0d9e0cb, 500000000 ,,,2025-11-08T14:08:27,init-script,2025-11-08T14:08:27,init-script
01ba3d14-dbde-4557-8aa7-3855a41dd33a,8852d3ce-ddd8-4c82-a94d-efe82af43f67, 500000000 ,,,2025-11-08T14:08:27,init-script,2025-11-08T14:08:27,init-script
72b5da36-4247-4126-b270-77567c679e11,a40da94e-057c-4496-948f-f0d03247c49c, 500000000 ,,,2025-11-08T14:08:27,init-script,2025-11-08T14:08:27,init-script
98313216-3a0c-46a6-b299-c50c36442292,0dc7372e-be7a-469d-9e3d-4a9e9973622a, 500000000 ,,,2025-11-08T14:08:27,init-script,2025-11-08T14:08:27,init-script
01eabfc6-cf31-46ca-bfc9-295324da2235,1872cb1c-34a1-4465-9ae3-3aefcbe0a12c, 500000000 ,,,2025-11-08T14:08:27,init-script,2025-11-08T14:08:27,init-script
f53fd1c8-5750-4f14-8a83-22ae91d118b1,44d01c4b-1156-4012-8a99-12777b0a0158, 500000000 ,,,2025-11-08T14:08:27,init-script,2025-11-08T14:08:27,init-script
